locus_tag	ftype	length_bp	gene	EC_number	COG	product
MBHGPHIL_00001	tRNA	76				tRNA-Ala(tgc)
MBHGPHIL_00002	rRNA	79				5S ribosomal RNA (partial)
MBHGPHIL_00003	tRNA	74				tRNA-Ala(tgc)
MBHGPHIL_00004	tRNA	77				tRNA-Ile(gat)
MBHGPHIL_00005	tRNA	77				tRNA-Ile(gat)
MBHGPHIL_00006	tRNA	77				tRNA-Arg(acg)
MBHGPHIL_00007	tRNA	74				tRNA-Ala(tgc)
MBHGPHIL_00008	tRNA	77				tRNA-Ile(gat)
MBHGPHIL_00009	tRNA	76				tRNA-Glu(ttc)
MBHGPHIL_00010	rRNA	456				16S ribosomal RNA (partial)
MBHGPHIL_00011	CDS	264				hypothetical protein
MBHGPHIL_00012	CDS	168				hypothetical protein
MBHGPHIL_00013	CDS	255				hypothetical protein
MBHGPHIL_00014	CDS	231				hypothetical protein
MBHGPHIL_00015	CDS	654				hypothetical protein
MBHGPHIL_00016	CDS	855				hypothetical protein
MBHGPHIL_00017	CDS	354				hypothetical protein
MBHGPHIL_00018	CDS	876	yebZ		COG1276	Inner membrane protein YebZ
MBHGPHIL_00019	CDS	375	yobA		COG2372	Protein YobA
MBHGPHIL_00020	CDS	231	holE	2.7.7.7		DNA polymerase III subunit theta
MBHGPHIL_00021	CDS	657				hypothetical protein
MBHGPHIL_00022	CDS	699	exoX	3.1.11.-	COG0847	Exodeoxyribonuclease 10
MBHGPHIL_00023	CDS	2052	ptrB	3.4.21.83	COG1770	Protease 2
MBHGPHIL_00024	CDS	660	yebE		COG2979	Inner membrane protein YebE
MBHGPHIL_00025	CDS	354	yebF			Protein YebF
MBHGPHIL_00026	CDS	291				hypothetical protein
MBHGPHIL_00027	CDS	1179	purT	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
MBHGPHIL_00028	CDS	642	eda		COG0800	KHG/KDPG aldolase
MBHGPHIL_00029	CDS	1812	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
MBHGPHIL_00030	CDS	1476	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
MBHGPHIL_00031	CDS	870	hexR_1		COG1737	HTH-type transcriptional regulator HexR
MBHGPHIL_00032	CDS	1443	pykA	2.7.1.40	COG0469	Pyruvate kinase II
MBHGPHIL_00033	CDS	972	lpxM	2.3.1.243	COG1560	Lipid A biosynthesis myristoyltransferase
MBHGPHIL_00034	CDS	1320	mepM	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
MBHGPHIL_00035	CDS	1002	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
MBHGPHIL_00036	CDS	756	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
MBHGPHIL_00037	CDS	786	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
MBHGPHIL_00038	CDS	1011	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
MBHGPHIL_00039	CDS	612	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
MBHGPHIL_00040	CDS	246				hypothetical protein
MBHGPHIL_00041	CDS	651				hypothetical protein
MBHGPHIL_00042	CDS	600				hypothetical protein
MBHGPHIL_00043	CDS	522	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
MBHGPHIL_00044	CDS	741	yebC		COG0217	putative transcriptional regulatory protein YebC
MBHGPHIL_00045	CDS	453	nudB	3.6.1.67	COG0494	Dihydroneopterin triphosphate diphosphatase
MBHGPHIL_00046	CDS	1773	aspS	6.1.1.12	COG0173	Aspartate--tRNA ligase
MBHGPHIL_00047	CDS	567	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
MBHGPHIL_00048	CDS	819				hypothetical protein
MBHGPHIL_00049	CDS	396	yecN		COG3788	Inner membrane protein YecN
MBHGPHIL_00050	CDS	744	cmoA	2.1.3.-	COG0500	Carboxy-S-adenosyl-L-methionine synthase
MBHGPHIL_00051	CDS	972	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
MBHGPHIL_00052	CDS	747	cutC_1		COG3142	Copper homeostasis protein CutC
MBHGPHIL_00053	CDS	570	yecM		COG3102	Protein YecM
MBHGPHIL_00054	CDS	1734	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
MBHGPHIL_00055	CDS	1872	mrdA_1	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
MBHGPHIL_00056	CDS	1140	yesR	3.2.1.172	COG4225	Unsaturated rhamnogalacturonyl hydrolase YesR
MBHGPHIL_00057	CDS	393	flhE			Flagellar protein FlhE
MBHGPHIL_00058	CDS	2079	flhA		COG1298	Flagellar biosynthesis protein FlhA
MBHGPHIL_00059	CDS	1152	flhB		COG1377	Flagellar biosynthetic protein FlhB
MBHGPHIL_00060	CDS	648	cheZ	3.1.3.-	COG3143	Protein phosphatase CheZ
MBHGPHIL_00061	CDS	390	cheY		COG0784	Chemotaxis protein CheY
MBHGPHIL_00062	CDS	1050	cheB	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
MBHGPHIL_00063	CDS	867	cheR	2.1.1.80		Chemotaxis protein methyltransferase
MBHGPHIL_00064	CDS	1662	tar		COG0840	Methyl-accepting chemotaxis protein II
MBHGPHIL_00065	CDS	504	cheW		COG0835	Chemotaxis protein CheW
MBHGPHIL_00066	CDS	2016	cheA	2.7.13.3	COG0643	Chemotaxis protein CheA
MBHGPHIL_00067	CDS	930	motB		COG1360	Motility protein B
MBHGPHIL_00068	CDS	888	motA		COG1291	Motility protein A
MBHGPHIL_00069	CDS	579	flhC			Flagellar transcriptional regulator FlhC
MBHGPHIL_00070	CDS	342	flhD			Flagellar transcriptional regulator FlhD
MBHGPHIL_00071	CDS	429	uspC		COG0589	Universal stress protein C
MBHGPHIL_00072	CDS	1422	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
MBHGPHIL_00073	CDS	903	otsB	3.1.3.12	COG1877	Trehalose-6-phosphate phosphatase
MBHGPHIL_00074	CDS	537	yajL_1	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
MBHGPHIL_00075	CDS	504	ftnA_1	1.16.3.2	COG1528	Bacterial non-heme ferritin
MBHGPHIL_00076	CDS	639				hypothetical protein
MBHGPHIL_00077	CDS	336				hypothetical protein
MBHGPHIL_00078	CDS	498	ftnA_2	1.16.3.2	COG1528	Bacterial non-heme ferritin
MBHGPHIL_00079	CDS	240				hypothetical protein
MBHGPHIL_00080	CDS	1269	tyrP		COG0814	Tyrosine-specific transport protein
MBHGPHIL_00081	CDS	666				hypothetical protein
MBHGPHIL_00082	CDS	192				hypothetical protein
MBHGPHIL_00083	CDS	1434				hypothetical protein
MBHGPHIL_00084	tRNA	87				tRNA-Leu(taa)
MBHGPHIL_00085	tRNA	74				tRNA-Cys(gca)
MBHGPHIL_00086	tRNA	76				tRNA-Gly(gcc)
MBHGPHIL_00087	CDS	549	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
MBHGPHIL_00088	CDS	1833	uvrC		COG0322	UvrABC system protein C
MBHGPHIL_00089	CDS	657	uvrY		COG2197	Response regulator UvrY
MBHGPHIL_00090	CDS	225				hypothetical protein
MBHGPHIL_00091	CDS	723	sdiA		COG2771	Regulatory protein SdiA
MBHGPHIL_00092	CDS	753	artM_1		COG1126	Arginine transport ATP-binding protein ArtM
MBHGPHIL_00093	CDS	669	yecS_1		COG0765	L-cystine transport system permease protein YecS
MBHGPHIL_00094	CDS	987	dcyD	4.4.1.15	COG2515	D-cysteine desulfhydrase
MBHGPHIL_00095	CDS	801	fliY_1		COG0834	L-cystine-binding protein FliY
MBHGPHIL_00096	CDS	552	fliZ			Regulator of sigma S factor FliZ
MBHGPHIL_00097	CDS	720	fliA		COG1191	RNA polymerase sigma factor FliA
MBHGPHIL_00098	tRNA	77				tRNA-Arg(acg)
MBHGPHIL_00099	CDS	105				hypothetical protein
MBHGPHIL_00100	rRNA	809				23S ribosomal RNA (partial)
MBHGPHIL_00101	CDS	159				hypothetical protein
MBHGPHIL_00102	CDS	405				hypothetical protein
MBHGPHIL_00103	CDS	237				hypothetical protein
MBHGPHIL_00104	CDS	321				hypothetical protein
MBHGPHIL_00105	CDS	978				hypothetical protein
MBHGPHIL_00106	CDS	750	dnaC_1		COG1484	DNA replication protein DnaC
MBHGPHIL_00107	CDS	348				hypothetical protein
MBHGPHIL_00108	CDS	1086	fliC		COG1344	Flagellin
MBHGPHIL_00109	CDS	1206				hypothetical protein
MBHGPHIL_00110	CDS	159				hypothetical protein
MBHGPHIL_00111	CDS	411				hypothetical protein
MBHGPHIL_00112	CDS	240				hypothetical protein
MBHGPHIL_00113	CDS	321				hypothetical protein
MBHGPHIL_00114	CDS	978				hypothetical protein
MBHGPHIL_00115	CDS	750	dnaC_2		COG1484	DNA replication protein DnaC
MBHGPHIL_00116	CDS	348				hypothetical protein
MBHGPHIL_00117	CDS	546	hemG	1.3.5.3	COG4635	Protoporphyrinogen IX dehydrogenase [menaquinone]
MBHGPHIL_00118	CDS	1452	trkH		COG0168	Trk system potassium uptake protein TrkH
MBHGPHIL_00119	CDS	615	yigZ		COG1739	IMPACT family member YigZ
MBHGPHIL_00120	CDS	1332	pepQ	3.4.13.9	COG0006	Xaa-Pro dipeptidase
MBHGPHIL_00121	CDS	2190	fadB		COG1024	Fatty acid oxidation complex subunit alpha
MBHGPHIL_00122	CDS	1164	fadA	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase
MBHGPHIL_00123	CDS	1836	assT_1	2.8.2.22		Arylsulfate sulfotransferase AssT
MBHGPHIL_00124	CDS	702	fre	1.5.1.41	COG0543	NAD(P)H-flavin reductase
MBHGPHIL_00125	CDS	1479	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
MBHGPHIL_00126	CDS	489	rfaH		COG0250	Transcription antitermination protein RfaH
MBHGPHIL_00127	CDS	795	tatD	3.1.11.-	COG0084	3'-5' ssDNA/RNA exonuclease TatD
MBHGPHIL_00128	CDS	780	tatC		COG0805	Sec-independent protein translocase protein TatC
MBHGPHIL_00129	CDS	549	tatB		COG1826	Sec-independent protein translocase protein TatB
MBHGPHIL_00130	CDS	255	tatA		COG1826	Sec-independent protein translocase protein TatA
MBHGPHIL_00131	CDS	1641	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
MBHGPHIL_00132	CDS	606	ubiJ_1		COG3165	Ubiquinone biosynthesis accessory factor UbiJ
MBHGPHIL_00133	CDS	756	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
MBHGPHIL_00134	CDS	1431				hypothetical protein
MBHGPHIL_00135	CDS	762	udp	2.4.2.3	COG2820	Uridine phosphorylase
MBHGPHIL_00136	CDS	813				hypothetical protein
MBHGPHIL_00137	CDS	1296	chuR_1	1.1.99.-	COG0641	Anaerobic sulfatase-maturating enzyme
MBHGPHIL_00138	CDS	2265	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
MBHGPHIL_00139	CDS	954	metR			HTH-type transcriptional regulator MetR
MBHGPHIL_00140	CDS	900	bioP		COG0697	Biotin transporter
MBHGPHIL_00141	CDS	801	yigL	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YigL
MBHGPHIL_00142	CDS	1017	pldB	3.1.1.5	COG2267	Lysophospholipase L2
MBHGPHIL_00143	CDS	621	rhtB		COG1280	Homoserine/homoserine lactone efflux protein
MBHGPHIL_00144	CDS	621	rhtC_1		COG1280	Threonine efflux protein
MBHGPHIL_00145	CDS	1848	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
MBHGPHIL_00146	CDS	870	pldA	3.1.1.32	COG2829	Phospholipase A1
MBHGPHIL_00147	CDS	468				hypothetical protein
MBHGPHIL_00148	CDS	885	rarD_1		COG2962	Protein RarD
MBHGPHIL_00149	CDS	459	yigG			Inner membrane protein YigG
MBHGPHIL_00150	CDS	381				hypothetical protein
MBHGPHIL_00151	CDS	951	corA		COG0598	Magnesium transport protein CorA
MBHGPHIL_00152	CDS	2163	uvrD	3.6.4.12	COG0210	DNA helicase II
MBHGPHIL_00153	CDS	717	yigB	3.1.3.104	COG1011	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB
MBHGPHIL_00154	CDS	903	xerC		COG4973	Tyrosine recombinase XerC
MBHGPHIL_00155	CDS	708				hypothetical protein
MBHGPHIL_00156	CDS	825	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
MBHGPHIL_00157	CDS	204				hypothetical protein
MBHGPHIL_00158	CDS	252				hypothetical protein
MBHGPHIL_00159	CDS	93				hypothetical protein
MBHGPHIL_00160	CDS	390				hypothetical protein
MBHGPHIL_00161	CDS	321	cyaY		COG1965	Iron-sulfur cluster assembly protein CyaY
MBHGPHIL_00162	CDS	363				hypothetical protein
MBHGPHIL_00163	CDS	516				hypothetical protein
MBHGPHIL_00164	CDS	354				hypothetical protein
MBHGPHIL_00165	CDS	2547	cyaA	4.6.1.1	COG3072	Adenylate cyclase
MBHGPHIL_00166	CDS	963	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
MBHGPHIL_00167	CDS	741	hemD	4.2.1.75	COG1587	Uroporphyrinogen-III synthase
MBHGPHIL_00168	CDS	1170	hemX		COG2959	Protein HemX
MBHGPHIL_00169	CDS	1200	hemY		COG3071	Protein HemY
MBHGPHIL_00170	tRNA	77				tRNA-Pro(tgg)
MBHGPHIL_00171	tRNA	87				tRNA-Leu(cag)
MBHGPHIL_00172	tRNA	76				tRNA-His(gtg)
MBHGPHIL_00173	tRNA	77				tRNA-Arg(ccg)
MBHGPHIL_00174	CDS	1386	yifK		COG1113	putative transport protein YifK
MBHGPHIL_00175	CDS	90				hypothetical protein
MBHGPHIL_00176	CDS	741	wecG	2.4.1.180	COG1922	UDP-N-acetyl-D-mannosaminuronic acid transferase
MBHGPHIL_00177	CDS	1359	wzyE			putative ECA polymerase
MBHGPHIL_00178	CDS	1080	wecF	2.4.1.325		TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase
MBHGPHIL_00179	CDS	1251	wzxE		COG2244	Lipid III flippase
MBHGPHIL_00180	CDS	1131	wecE	2.6.1.59	COG0399	dTDP-4-amino-4,6-dideoxygalactose transaminase
MBHGPHIL_00181	CDS	678	wecD	2.3.1.210	COG0454	dTDP-fucosamine acetyltransferase
MBHGPHIL_00182	CDS	225				hypothetical protein
MBHGPHIL_00183	CDS	1068	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
MBHGPHIL_00184	CDS	1263	wecC	1.1.1.336	COG0677	UDP-N-acetyl-D-mannosamine dehydrogenase
MBHGPHIL_00185	CDS	1086	wecB	5.1.3.14	COG0381	UDP-N-acetylglucosamine 2-epimerase
MBHGPHIL_00186	CDS	1047	wzzE		COG3765	ECA polysaccharide chain length modulation protein
MBHGPHIL_00187	CDS	1104	wecA	2.7.8.33	COG0472	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
MBHGPHIL_00188	CDS	1260	rho	3.6.4.-	COG1158	Transcription termination factor Rho
MBHGPHIL_00189	CDS	330	trxA		COG0526	Thioredoxin 1
MBHGPHIL_00190	CDS	1266	rhlB	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlB
MBHGPHIL_00191	CDS	1482	gppA	3.6.1.40	COG0248	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
MBHGPHIL_00192	CDS	2025	rep	3.6.4.12	COG0210	ATP-dependent DNA helicase Rep
MBHGPHIL_00193	CDS	282	ppiC	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase C
MBHGPHIL_00194	CDS	1476	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
MBHGPHIL_00195	CDS	888	gltC_1			HTH-type transcriptional regulator GltC
MBHGPHIL_00196	CDS	342				hypothetical protein
MBHGPHIL_00197	CDS	318				hypothetical protein
MBHGPHIL_00198	CDS	1545	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
MBHGPHIL_00199	CDS	1851	ilvD_1	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
MBHGPHIL_00200	CDS	930	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
MBHGPHIL_00201	CDS	264	ilvM	2.2.1.6	COG3978	Acetolactate synthase isozyme 2 small subunit
MBHGPHIL_00202	CDS	1647	ilvG	2.2.1.6		Acetolactate synthase isozyme 2 large subunit
MBHGPHIL_00203	CDS	1521	comM		COG0606	Competence protein ComM
MBHGPHIL_00204	CDS	339				hypothetical protein
MBHGPHIL_00205	CDS	837	hdfR_1			HTH-type transcriptional regulator HdfR
MBHGPHIL_00206	tRNA	76				tRNA-Trp(cca)
MBHGPHIL_00207	tRNA	77				tRNA-Asp(gtc)
MBHGPHIL_00208	rRNA	111				5S ribosomal RNA
MBHGPHIL_00209	CDS	291				hypothetical protein
MBHGPHIL_00210	CDS	651				hypothetical protein
MBHGPHIL_00211	CDS	1467				hypothetical protein
MBHGPHIL_00212	CDS	5844				hypothetical protein
MBHGPHIL_00213	CDS	5580				hypothetical protein
MBHGPHIL_00214	CDS	960				hypothetical protein
MBHGPHIL_00215	CDS	2193				hypothetical protein
MBHGPHIL_00216	CDS	222	yfgJ			putative protein YfgJ
MBHGPHIL_00217	CDS	1473	der		COG1160	GTPase Der
MBHGPHIL_00218	CDS	1179	bamB		COG1520	Outer membrane protein assembly factor BamB
MBHGPHIL_00219	CDS	621				hypothetical protein
MBHGPHIL_00220	CDS	1275	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
MBHGPHIL_00221	CDS	1119	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
MBHGPHIL_00222	CDS	1005	rodZ		COG1426	Cytoskeleton protein RodZ
MBHGPHIL_00223	CDS	1167	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
MBHGPHIL_00224	CDS	432	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
MBHGPHIL_00225	CDS	864	napF_1			Ferredoxin-type protein NapF
MBHGPHIL_00226	CDS	810	dmsC_1		COG3302	Anaerobic dimethyl sulfoxide reductase chain C
MBHGPHIL_00227	CDS	630	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
MBHGPHIL_00228	CDS	2379	dmsA_1	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
MBHGPHIL_00229	CDS	2316	pbpC		COG4953	Penicillin-binding protein 1C
MBHGPHIL_00230	CDS	4935	yfhM		COG2373	Alpha-2-macroglobulin
MBHGPHIL_00231	CDS	843	sseA_1	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
MBHGPHIL_00232	CDS	225				hypothetical protein
MBHGPHIL_00233	CDS	669				hypothetical protein
MBHGPHIL_00234	CDS	777				hypothetical protein
MBHGPHIL_00235	CDS	180				hypothetical protein
MBHGPHIL_00236	CDS	1284	pepB	3.4.11.23	COG0260	Peptidase B
MBHGPHIL_00237	CDS	201	iscX		COG2975	Protein IscX
MBHGPHIL_00238	CDS	336	fdx		COG0633	2Fe-2S ferredoxin
MBHGPHIL_00239	CDS	1851	hscA		COG0443	Chaperone protein HscA
MBHGPHIL_00240	CDS	516	hscB		COG1076	Co-chaperone protein HscB
MBHGPHIL_00241	CDS	324	iscA		COG0316	Iron-binding protein IscA
MBHGPHIL_00242	CDS	387	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
