# BUSCO version is: 5.5.0 
# The lineage dataset is: bacillales_odb10 (Creation date: 2024-01-08, number of genomes: 412, number of BUSCOs: 450)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
359at1385	Complete	NODE_24_length_59682_cov_130.117631	35354	38935	-	2000.5	1004	https://v10-1.orthodb.org/?query=359at1385	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
362at1385	Complete	NODE_2_length_245272_cov_72.276469	52526	56890	-	1979.7	1101	https://v10-1.orthodb.org/?query=362at1385	DNA polymerase III PolC-type
434at1385	Complete	NODE_24_length_59682_cov_130.117631	31693	35292	-	1828.4	965	https://v10-1.orthodb.org/?query=434at1385	DNA-directed RNA polymerase subunit beta'
1064at1385	Complete	NODE_2_length_245272_cov_72.276469	157008	160223	-	1554.0	877	https://v10-1.orthodb.org/?query=1064at1385	Carbamoyl-phosphate synthase large chain
1366at1385	Complete	NODE_29_length_55167_cov_125.731583	25099	28632	+	1306.6	825	https://v10-1.orthodb.org/?query=1366at1385	Transcription-repair-coupling factor
2297at1385	Complete	NODE_25_length_59361_cov_103.024804	22135	24660	-	1230.6	734	https://v10-1.orthodb.org/?query=2297at1385	SecA, preprotein cross-linking domain
2753at1385	Complete	NODE_24_length_59682_cov_130.117631	54850	57282	-	1351.5	707	https://v10-1.orthodb.org/?query=2753at1385	Clp, N-terminal
3174at1385	Complete	NODE_12_length_110573_cov_70.712092	84976	87618	-	1059.5	691	https://v10-1.orthodb.org/?query=3174at1385	DNA polymerase I
3201at1385	Complete	NODE_18_length_68755_cov_70.993202	27583	30003	+	1152.5	675	https://v10-1.orthodb.org/?query=3201at1385	DNA topoisomerase, type IIA, subunit A/C-terminal
3378at1385	Complete	NODE_12_length_110573_cov_70.712092	103066	106413	-	1038.0	825	https://v10-1.orthodb.org/?query=3378at1385	DNA polymerase III subunit alpha
3440at1385	Complete	NODE_21_length_63332_cov_124.278948	60610	63075	+	1408.9	767	https://v10-1.orthodb.org/?query=3440at1385	DNA gyrase subunit A
4102at1385	Complete	NODE_2_length_245272_cov_72.276469	5649	8225	-	930.6	667	https://v10-1.orthodb.org/?query=4102at1385	DNA mismatch repair protein MutS
4184at1385	Complete	NODE_11_length_115385_cov_68.112937	99182	101818	+	1152.5	690	https://v10-1.orthodb.org/?query=4184at1385	Alanine--tRNA ligase
4271at1385	Complete	NODE_2_length_245272_cov_72.276469	113839	117399	-	1211.8	1173	https://v10-1.orthodb.org/?query=4271at1385	SMCs flexible hinge
4451at1385	Complete	NODE_24_length_59682_cov_130.117631	28092	30170	-	1155.0	602	https://v10-1.orthodb.org/?query=4451at1385	Elongation factor G
4718at1385	Complete	NODE_2_length_245272_cov_72.276469	42472	44589	-	1082.2	616	https://v10-1.orthodb.org/?query=4718at1385	Polyribonucleotide nucleotidyltransferase
4862at1385	Complete	NODE_12_length_110573_cov_70.712092	38856	41270	-	926.4	672	https://v10-1.orthodb.org/?query=4862at1385	Phenylalanine--tRNA ligase beta subunit
4928at1385	Complete	NODE_11_length_115385_cov_68.112937	77262	79466	+	1037.8	591	https://v10-1.orthodb.org/?query=4928at1385	RelA/SpoT
5633at1385	Complete	NODE_10_length_134281_cov_67.927667	64237	66048	+	378.3	348	https://v10-1.orthodb.org/?query=5633at1385	DNA primase
5697at1385	Complete	NODE_13_length_107674_cov_210.936805	92580	94919	+	967.2	609	https://v10-1.orthodb.org/?query=5697at1385	Ribonuclease R
6463at1385	Complete	NODE_10_length_134281_cov_67.927667	34830	36668	+	1047.5	542	https://v10-1.orthodb.org/?query=6463at1385	Elongation factor 4
6806at1385	Complete	NODE_2_length_245272_cov_72.276469	98223	100298	-	959.0	558	https://v10-1.orthodb.org/?query=6806at1385	DNA topoisomerase I, type IA
6913at1385	Complete	NODE_9_length_135168_cov_96.839764	10154	12313	-	903.8	596	https://v10-1.orthodb.org/?query=6913at1385	YqgF/RNase H-like domain
7104at1385	Complete	NODE_29_length_55167_cov_125.731583	41652	43565	+	882.8	480	https://v10-1.orthodb.org/?query=7104at1385	Peptidase M41
7126at1385	Complete	NODE_2_length_245272_cov_72.276469	122101	124149	-	728.7	507	https://v10-1.orthodb.org/?query=7126at1385	Helicase, C-terminal
7815at1385	Complete	NODE_2_length_245272_cov_72.276469	235991	237829	-	912.4	519	https://v10-1.orthodb.org/?query=7815at1385	GTP-binding protein
7836at1385	Complete	NODE_25_length_59361_cov_103.024804	6772	8757	-	1070.9	581	https://v10-1.orthodb.org/?query=7836at1385	excinuclease ABC subunit B
7997at1385	Complete	NODE_21_length_63332_cov_124.278948	58477	60399	+	973.0	561	https://v10-1.orthodb.org/?query=7997at1385	DNA gyrase subunit B
8435at1385	Complete	NODE_21_length_63332_cov_124.278948	47614	49500	-	959.9	529	https://v10-1.orthodb.org/?query=8435at1385	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
8501at1385	Complete	NODE_34_length_45123_cov_83.957775	1283	3289	-	687.2	501	https://v10-1.orthodb.org/?query=8501at1385	DNA ligase
8606at1385	Complete	NODE_34_length_45123_cov_83.957775	3313	5532	-	775.9	536	https://v10-1.orthodb.org/?query=8606at1385	ATP-dependent DNA helicase
8780at1385	Complete	NODE_8_length_136202_cov_108.675329	110411	112213	-	770.1	507	https://v10-1.orthodb.org/?query=8780at1385	Glutamine--fructose-6-phosphate aminotransferase 
8855at1385	Complete	NODE_12_length_110573_cov_70.712092	22836	24608	-	839.7	490	https://v10-1.orthodb.org/?query=8855at1385	excinuclease ABC subunit C
9040at1385	Complete	NODE_2_length_245272_cov_72.276469	47813	49963	-	992.9	567	https://v10-1.orthodb.org/?query=9040at1385	Translation initiation factor IF-2
9769at1385	Complete	NODE_21_length_63332_cov_124.278948	8486	10465	-	693.2	481	https://v10-1.orthodb.org/?query=9769at1385	Cyclic-di-AMP phosphodiesterase
10300at1385	Complete	NODE_13_length_107674_cov_210.936805	70828	72363	+	577.4	389	https://v10-1.orthodb.org/?query=10300at1385	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
12254at1385	Complete	NODE_34_length_45123_cov_83.957775	19438	21666	-	928.9	575	https://v10-1.orthodb.org/?query=12254at1385	PurM-like, C-terminal domain
12623at1385	Complete	NODE_29_length_55167_cov_125.731583	10300	12294	+	898.9	537	https://v10-1.orthodb.org/?query=12623at1385	Methionine--tRNA ligase
13595at1385	Complete	NODE_22_length_62726_cov_85.359433	55579	57009	-	737.4	412	https://v10-1.orthodb.org/?query=13595at1385	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
14301at1385	Complete	NODE_2_length_245272_cov_72.276469	3750	5639	-	686.8	466	https://v10-1.orthodb.org/?query=14301at1385	DNA mismatch repair protein MutL
14740at1385	Complete	NODE_1_length_284620_cov_98.478119	144769	146376	-	790.5	444	https://v10-1.orthodb.org/?query=14740at1385	CTP synthase
14820at1385	Complete	NODE_10_length_134281_cov_67.927667	39630	41465	+	962.5	558	https://v10-1.orthodb.org/?query=14820at1385	Chaperone protein DnaK
14942at1385	Complete	NODE_3_length_177228_cov_64.729564	88085	90880	+	799.6	643	https://v10-1.orthodb.org/?query=14942at1385	ATP-dependent helicase, C-terminal
15058at1385	Complete	NODE_11_length_115385_cov_68.112937	83475	85253	+	804.4	495	https://v10-1.orthodb.org/?query=15058at1385	Aspartate--tRNA ligase
16106at1385	Complete	NODE_4_length_167759_cov_77.424081	53956	55353	-	772.3	398	https://v10-1.orthodb.org/?query=16106at1385	SUF system FeS cluster assembly, SufBD
16742at1385	Complete	NODE_34_length_45123_cov_83.957775	18032	19462	-	694.2	403	https://v10-1.orthodb.org/?query=16742at1385	Amidophosphoribosyltransferase
16812at1385	Complete	NODE_50_length_15489_cov_128.690229	1125	2591	+	744.9	416	https://v10-1.orthodb.org/?query=16812at1385	IMP dehydrogenase
16875at1385	Complete	NODE_1_length_284620_cov_98.478119	117955	119463	-	820.7	426	https://v10-1.orthodb.org/?query=16875at1385	ATP synthase subunit alpha
17506at1385	Complete	NODE_34_length_45123_cov_83.957775	31880	33430	-	802.2	438	https://v10-1.orthodb.org/?query=17506at1385	GMP synthase
18217at1385	Complete	NODE_2_length_245272_cov_72.276469	137474	139891	-	945.2	642	https://v10-1.orthodb.org/?query=18217at1385	Primosomal protein N'
19026at1385	Complete	NODE_1_length_284620_cov_98.478119	115568	116989	-	819.5	421	https://v10-1.orthodb.org/?query=19026at1385	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
19481at1385	Complete	NODE_42_length_30993_cov_96.737087	19367	20998	-	890.6	478	https://v10-1.orthodb.org/?query=19481at1385	GroEL-like apical domain superfamily
19678at1385	Complete	NODE_24_length_59682_cov_130.117631	46004	47404	-	650.3	411	https://v10-1.orthodb.org/?query=19678at1385	Cysteine--tRNA ligase
20173at1385	Complete	NODE_34_length_45123_cov_83.957775	23376	24671	-	626.2	387	https://v10-1.orthodb.org/?query=20173at1385	Adenylosuccinate lyase
