locus_tag	ftype	length_bp	gene	EC_number	COG	product
AJKAJODB_00001	CDS	1320	IMPDH_1	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
AJKAJODB_00002	CDS	303				hypothetical protein
AJKAJODB_00003	CDS	942	nrnA	3.1.-.-	COG0618	Bifunctional oligoribonuclease and PAP phosphatase NrnA
AJKAJODB_00004	CDS	192				hypothetical protein
AJKAJODB_00005	CDS	504	ytrI			Sporulation membrane protein YtrI
AJKAJODB_00006	CDS	342	ytrH			Sporulation membrane protein YtrH
AJKAJODB_00007	CDS	3348	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
AJKAJODB_00008	CDS	1233		1.1.1.38		NAD-dependent malic enzyme
AJKAJODB_00009	CDS	873	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
AJKAJODB_00010	CDS	978	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
AJKAJODB_00011	CDS	960	pfkA	2.7.1.11	COG0205	ATP-dependent 6-phosphofructokinase
AJKAJODB_00012	CDS	1758	pyk	2.7.1.40	COG0469	Pyruvate kinase
AJKAJODB_00013	CDS	384				hypothetical protein
AJKAJODB_00014	CDS	1116				Sodium-lithium/proton antiporter
AJKAJODB_00015	CDS	465				hypothetical protein
AJKAJODB_00016	CDS	1119	citZ	2.3.3.16	COG0372	Citrate synthase 2
AJKAJODB_00017	CDS	1272	icd	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
AJKAJODB_00018	CDS	939	mdh	1.1.1.37	COG0039	Malate dehydrogenase
AJKAJODB_00019	CDS	723	phoP		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
AJKAJODB_00020	CDS	1740	phoR	2.7.13.3	COG0642	Alkaline phosphatase synthesis sensor protein PhoR
AJKAJODB_00021	CDS	2643	polA	2.7.7.7		DNA polymerase I
AJKAJODB_00022	CDS	837	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
AJKAJODB_00023	CDS	633	ytaF			putative sporulation protein YtaF
AJKAJODB_00024	CDS	594	coaE	2.7.1.24		Dephospho-CoA kinase
AJKAJODB_00025	CDS	843	ytbE	1.-.-.-	COG0656	putative oxidoreductase YtbE
AJKAJODB_00026	CDS	1191	ydhP_1		COG2814	Inner membrane transport protein YdhP
AJKAJODB_00027	CDS	381	ytcD		COG1733	putative HTH-type transcriptional regulator YtcD
AJKAJODB_00028	CDS	1023	gapB	1.2.1.59	COG0057	Glyceraldehyde-3-phosphate dehydrogenase 2
AJKAJODB_00029	CDS	381	speH	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
AJKAJODB_00030	CDS	459	nrdR		COG1327	Transcriptional repressor NrdR
AJKAJODB_00031	CDS	1419	dnaB		COG3611	Replication initiation and membrane attachment protein
AJKAJODB_00032	CDS	936	dnaI		COG1484	Primosomal protein DnaI
